Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Logistic Regression,0.8532608695652174,0.9120879120879121,0.8137254901960784,0.8601036269430051,0.9100908656145386
Decision Tree,0.75,0.7745098039215687,0.7745098039215687,0.7745098039215687,0.7470109995217599
Random Forest,0.7771739130434783,0.7850467289719626,0.8235294117647058,0.8038277511961722,0.8671090387374462
SVM,0.8152173913043478,0.84,0.8235294117647058,0.8316831683168316,0.8809182209469154
KNN,0.7880434782608695,0.8058252427184466,0.8137254901960784,0.8097560975609757,0.868962219033955
Gradient Boosting,0.8097826086956522,0.8252427184466019,0.8333333333333334,0.8292682926829268,0.8839670014347203
